"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATACHEM","EQ","04-Mar-2020","        724.45","        315.00","        339.70","        304.40","        314.50","        314.95","        316.45","    4791542","          1516305326.50","      60621","    1726722","         36.04"
"TATACHEM","EQ","05-Mar-2020","        314.95","        317.00","        323.00","        311.40","        315.00","        314.95","        316.85","    2529553","           801480897.85","      41880","    1002274","         39.62"
"TATACHEM","EQ","06-Mar-2020","        314.95","        309.95","        312.00","        298.30","        310.85","        310.35","        305.68","    1061298","           324420287.20","      17209","     317882","         29.95"
"TATACHEM","EQ","09-Mar-2020","        310.35","        305.00","        310.00","        294.00","        296.45","        298.25","        300.77","    1379645","           414962124.35","      13691","     642024","         46.54"
"TATACHEM","EQ","11-Mar-2020","        298.25","        298.50","        304.35","        291.00","        294.00","        295.45","        296.91","    1442173","           428191754.50","      27394","     786888","         54.56"
"TATACHEM","EQ","12-Mar-2020","        295.45","        289.50","        289.50","        258.30","        267.40","        265.85","        267.95","    1756140","           470556474.20","      31398","     420735","         23.96"
"TATACHEM","EQ","13-Mar-2020","        265.85","        250.00","        283.40","        235.00","        281.00","        275.85","        259.76","    2398875","           623124767.90","      44684","    1047255","         43.66"
"TATACHEM","EQ","16-Mar-2020","        275.85","        250.00","        265.50","        249.00","        251.00","        252.05","        257.10","    1466400","           377015719.00","      29866","     621886","         42.41"
"TATACHEM","EQ","17-Mar-2020","        252.05","        251.10","        252.65","        235.00","        239.00","        238.40","        245.72","     980014","           240811277.55","      27839","     313307","         31.97"
"TATACHEM","EQ","18-Mar-2020","        238.40","        243.10","        243.10","        223.00","        226.00","        226.75","        230.94","    1057890","           244304170.00","      35411","     406443","         38.42"
"TATACHEM","EQ","19-Mar-2020","        226.75","        225.00","        232.00","        210.30","        223.00","        223.10","        221.41","    1572998","           348283494.65","      33690","     567297","         36.06"
"TATACHEM","EQ","20-Mar-2020","        223.10","        224.00","        236.00","        221.15","        230.50","        228.95","        228.88","    1559193","           356874176.60","      31006","     638746","         40.97"
"TATACHEM","EQ","23-Mar-2020","        228.95","        216.00","        231.00","        197.00","        200.00","        200.70","        211.81","    1115235","           236212552.25","      18073","     551773","         49.48"
"TATACHEM","EQ","24-Mar-2020","        200.70","        212.05","        218.50","        197.00","        200.00","        200.75","        208.23","    2011624","           418885421.90","      54340","     920410","         45.75"
"TATACHEM","EQ","25-Mar-2020","        200.75","        201.70","        213.80","        200.50","        212.40","        210.95","        208.56","     984315","           205289539.60","      21062","     314598","         31.96"
