"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BANDHANBNK","EQ","24-Jan-2020","        475.10","        476.50","        484.90","        470.30","        482.75","        481.85","        479.82","    1325867","           636176393.95","      39938","     595655","         44.93"
"BANDHANBNK","EQ","27-Jan-2020","        481.85","        478.40","        484.40","        473.90","        474.50","        474.60","        477.87","     943592","           450917218.65","      29049","     521341","         55.25"
"BANDHANBNK","EQ","28-Jan-2020","        474.60","        475.00","        477.00","        460.00","        460.60","        462.30","        468.57","    1204858","           564560458.40","      34705","     717889","         59.58"
"BANDHANBNK","EQ","29-Jan-2020","        462.30","        465.00","        466.00","        445.25","        451.20","        451.15","        454.36","    2273052","          1032778806.00","      80123","    1248087","         54.91"
"BANDHANBNK","EQ","30-Jan-2020","        451.15","        451.00","        451.10","        435.00","        436.80","        437.70","        442.49","    1803225","           797909310.10","      63935","    1211884","         67.21"
"BANDHANBNK","EQ","31-Jan-2020","        437.70","        446.00","        459.75","        446.00","        450.40","        450.35","        452.03","    2762309","          1248650446.15","      68888","    1928026","         69.80"
"BANDHANBNK","EQ","01-Feb-2020","        450.35","        448.75","        452.75","        436.50","        440.00","        440.75","        447.13","     979555","           437991322.65","      37754","     509374","         52.00"
"BANDHANBNK","EQ","03-Feb-2020","        440.75","        439.70","        442.00","        432.85","        438.00","        438.00","        437.97","    1272221","           557191431.55","      38485","     920116","         72.32"
"BANDHANBNK","EQ","04-Feb-2020","        438.00","        440.00","        442.35","        433.00","        438.50","        437.90","        437.73","    2472717","          1082383571.35","      47978","    1962583","         79.37"
"BANDHANBNK","EQ","05-Feb-2020","        437.90","        439.50","        439.90","        427.50","        428.00","        429.20","        432.29","    2489013","          1075964267.50","      52426","    1876441","         75.39"
"BANDHANBNK","EQ","06-Feb-2020","        429.20","        431.75","        436.25","        421.00","        425.25","        425.45","        428.51","    3502440","          1500818557.25","      75617","    2066404","         59.00"
"BANDHANBNK","EQ","07-Feb-2020","        425.45","        428.10","        447.85","        425.45","        442.70","        442.70","        439.84","    5359754","          2357442504.80","     144344","    3581180","         66.82"
"BANDHANBNK","EQ","10-Feb-2020","        442.70","        444.70","        461.20","        437.15","        458.80","        457.45","        455.99","    4552331","          2075829236.55","      73823","    2922403","         64.20"
"BANDHANBNK","EQ","11-Feb-2020","        457.45","        463.00","        468.45","        453.00","        459.95","        459.40","        460.65","    2665917","          1228062532.70","      55468","    1553106","         58.26"
"BANDHANBNK","EQ","12-Feb-2020","        459.40","        465.00","        481.20","        461.00","        467.45","        469.80","        473.38","    4142162","          1960805378.30","      86592","    1946985","         47.00"
"BANDHANBNK","EQ","13-Feb-2020","        469.80","        455.00","        456.70","        445.10","        451.55","        452.05","        452.21","    2416819","          1092907660.05","      55986","    1294301","         53.55"
